Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2017,7,1,5471.570085,5162.349049,4916.204361,4840.669605,4845.585568,4945.784924,5235.825964,5475.376084,5532.041928,5578.49041,5417.518764,5112.826866,4970.37545,5103.049821,5261.845363,5491.554406,5837.264323,6284.489389,6402.513194,6266.526601,5957.654307,6003.192352,5795.618824,5603.801667
2017,7,2,5347.278869,5051.846122,4834.607813,4760.016966,4762.652184,4820.868674,5000.954217,5083.847078,5065.970942,4914.792118,4680.472856,4461.780682,4417.193083,4503.255537,4729.022435,5156.544926,5713.869628,6380.347454,6721.293226,6675.813475,6670.120453,6361.762796,6011.033338,5718.693185
2017,7,3,5998.620662,5668.245581,5375.043348,5278.747573,5354.867073,5658.069332,6289.132959,6995.928844,7113.700258,6865.638031,6906.697455,6939.183619,6944.08888,6938.458204,7025.890083,7206.060077,7541.489571,8026.191467,8142.227138,8004.849086,7900.820831,7457.333844,6925.095807,6583.256871
2017,7,4,5600.656081,5233.875009,4970.547664,4886.305571,4924.00306,5213.860088,5781.234169,6266.541355,6309.511239,6053.930938,5856.783353,5646.0273,5575.031878,5661.203718,5802.359074,6012.025823,6249.430144,6660.124044,6855.200866,6734.530494,6732.873957,6408.054688,6043.753538,5845.638641
2017,7,5,5471.38862,5164.06151,4918.057655,4816.874911,4837.656434,5117.517812,5647.179265,6073.727907,5952.094989,5677.156478,5459.305939,5375.451105,5427.962652,5499.11415,5672.225253,5912.001622,6217.973264,6562.650165,6700.95769,6595.411637,6593.26273,6316.528262,6002.074185,5738.837277
2017,7,6,5458.559731,5132.849623,4851.459676,4768.329306,4747.944282,5013.946751,5508.277213,5941.138742,5944.293307,5695.221277,5488.007488,5394.872345,5402.641083,5489.112937,5692.658548,5922.631584,6237.481144,6543.190554,6758.462737,6668.172174,6647.804889,6307.466245,5963.197725,5694.179704
2017,7,7,5384.406065,5075.745273,4871.768548,4767.209703,4820.687189,5094.521548,5589.221824,6072.206638,6105.716024,5946.252069,5707.600321,5599.433408,5610.917788,5683.676863,5787.066991,5964.974013,6218.950094,6457.857681,6470.237481,6358.263443,6320.315132,6099.323097,5874.212568,5716.436085
2017,7,8,5383.747104,5062.470239,4857.219448,4764.693001,4770.806191,4876.844197,5125.302362,5288.232062,5345.611514,5311.450596,5064.552124,4863.577774,4827.708001,4861.241775,4999.981345,5279.189081,5623.383176,6072.321655,6252.964758,6140.002656,6146.718892,5951.46794,5785.328475,5652.496769
2017,7,9,5387.668795,5063.626256,4821.855046,4728.710053,4736.435067,4767.014807,4885.822941,5010.562526,5103.921276,5093.584026,4908.48751,4753.044695,4663.064077,4701.375793,4894.727963,5209.27071,5647.701423,6139.681431,6410.340308,6240.208838,6254.380293,5988.866344,5743.093097,5495.468132
2017,7,10,5242.024589,4984.053463,4754.927975,4679.796583,4757.155511,5059.07008,5717.787472,6274.266884,6038.59463,5641.384949,5407.654684,5348.58563,5373.752347,5480.069147,5635.067878,5876.074341,6262.92902,6676.355987,6860.330111,6750.983032,6731.444533,6426.771923,6019.061388,5740.211432
