Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2017,7,1,5235.998622,4739.653268,4325.904614,4094.044948,3996.239757,4039.683075,4270.851037,4549.548308,4963.014379,5173.117569,5110.929706,5038.952276,5063.386954,5017.817625,5005.821666,5086.034922,5327.345104,5878.881575,6115.244572,5856.424601,5544.548872,5300.187168,5063.921335,5303.446161
2017,7,2,5187.655567,4767.355628,4334.117813,4117.982076,3987.78992,3974.988434,4088.586824,4195.556382,4579.43497,4932.691185,5091.04504,5132.833772,5151.1314,5170.327415,5122.615453,5206.27761,5458.262636,5899.595723,6225.869698,6035.45105,5825.088662,5549.143597,5197.17703,5291.906995
2017,7,3,4729.546267,4472.955165,4226.06877,4054.544577,4008.213568,4258.558761,4776.089166,5441.331546,5942.817341,6055.582576,5976.068328,5880.266042,5751.881868,5732.100215,5811.050871,5861.276888,5900.373655,6333.309837,6517.882238,6178.331344,5880.033471,5540.764917,5169.458476,5259.050663
2017,7,4,4961.115473,4669.158648,4426.253045,4227.361354,4158.776335,4364.578234,4885.124333,5503.434171,5867.284677,5767.796808,5531.023716,5348.462703,5265.602112,5289.328393,5348.625944,5442.943822,5593.930269,6032.570567,6336.093331,6130.74115,5884.07478,5549.287641,5208.546344,5332.534077
2017,7,5,5028.835803,4664.350062,4407.269984,4165.247641,4104.397237,4294.133975,4930.974249,5545.262361,5892.094238,5768.491723,5475.971884,5276.020537,5162.582123,5171.342312,4963.298892,5351.003871,5569.641456,6034.336666,6478.141029,6216.853295,5968.041163,5649.275116,5297.453459,5388.523795
2017,7,6,5123.330382,4810.427826,4509.229191,4251.701592,4177.455852,4334.507695,4976.131313,5596.129006,6025.306103,6059.445039,5986.547052,5990.522068,5983.072387,5975.254466,5889.618549,5872.290119,6005.394001,6355.158714,6608.251816,6309.551164,6042.086446,5679.627096,5309.363457,5365.327925
2017,7,7,5052.17418,4724.138325,4392.957114,4252.252743,4200.056842,4337.802026,4955.617738,5629.787783,6086.470387,6057.037322,5792.312059,5665.911013,5690.118643,5772.685518,5808.396985,5826.10027,5909.762232,6256.209114,6561.516209,6271.635658,6022.213503,5710.321327,5417.353774,5538.825706
2017,7,8,5233.011025,4871.644867,4478.763401,4206.488621,4075.630157,4118.087226,4309.237396,4549.894374,4921.820326,5068.530233,4958.124141,4799.10065,4789.471122,4828.106337,4816.770253,4882.055999,5160.927722,5688.648862,5978.792496,5752.895712,5475.276292,5247.485295,5116.988717,5281.835632
2017,7,9,5055.169549,4701.016753,4350.099154,4105.029971,3962.120285,3951.338684,4100.402799,4234.673051,4514.26271,4664.263745,4638.646888,4552.751937,4561.628674,4666.37304,4699.824768,4856.150785,5175.530228,5642.303662,6024.99014,5869.705187,5682.749531,5415.737536,5104.689333,5198.101713
2017,7,10,5597.333263,5269.904241,4939.858749,4685.958068,4644.985779,4898.793655,5623.165357,6462.495946,7068.574879,7136.637378,6823.434082,6506.134442,6335.409281,6391.530245,6296.677408,6538.918219,6728.206137,7211.280881,7767.86645,7369.009625,7070.889459,6719.60376,6205.673141,6262.719035
2017,7,11,6020.865326,5610.603511,5215.83604,5012.43031,4968.569094,5181.549162,5952.281608,6876.922506,7433.39999,7393.957418,7039.727787,6713.601291,6437.689458,6413.664315,6441.036546,6556.565298,6679.645415,7393.942783,7877.643372,7623.165958,7304.727561,6924.689585,6321.42079,6367.497082
2017,7,12,6033.582842,5627.800782,5323.652251,5067.677811,4961.243462,5194.458473,5977.831496,6808.73744,7376.790683,7348.314549,6963.529975,6565.295499,6280.054462,6233.202588,6253.205827,6311.065189,6569.922495,7138.266067,7694.951677,7465.253382,7163.711546,6831.790367,6344.84168,6340.070853
2017,7,13,6026.579131,5593.259969,5258.252362,5029.453542,4938.981449,5149.481434,5906.98919,6747.59671,7340.395802,7432.93417,7214.809864,6939.588087,6653.995789,6566.802366,6435.404239,6492.691114,6652.481856,7163.208679,7610.026608,7394.014196,7118.78222,6722.737964,6295.208781,6323.762696
2017,7,14,5365.843392,5007.160314,4683.548928,4431.249022,4356.897389,4567.310242,5170.456163,5906.75738,6372.422676,6294.441702,5915.685034,5617.909245,5389.242089,5440.650681,5561.664754,5627.038397,5773.883131,6200.5448,6497.375354,6234.148812,5990.207986,5679.572254,5364.920906,5487.564478
2017,7,15,5203.201098,4781.824631,4411.992511,4148.782301,4030.792227,4070.593174,4300.979757,4541.462437,4978.548539,5290.175028,5285.016626,5229.043784,5160.661002,5151.46034,5136.009132,5174.604394,5334.459805,5822.236575,5999.870471,5710.705025,5433.691141,5216.444477,5042.943171,5209.127868
2017,7,16,4981.93401,4614.034148,4220.545772,4051.466322,3875.522115,3800.083922,3891.626326,4015.299673,4366.78426,4708.401715,4900.746302,4937.876595,4996.774223,4986.963179,4940.295973,4984.304365,5107.632497,5506.021264,5923.148105,5693.586891,5451.832844,5149.910204,4868.549833,4992.299523
