Bus,Time,Demand
System,1,477.91419783000003
System,2,441.63562629
System,3,415.31247501
System,4,396.04782231
System,5,396.40886274
System,6,407.70951519
System,7,451.26648078
System,8,505.96814820000003
System,9,536.22440136
System,10,525.92159775
System,11,500.97746474999997
System,12,491.0403924
System,13,480.72467745
System,14,478.78511994
System,15,472.06320084000004
System,16,472.03733166
System,17,488.67969183
System,18,543.6919152
System,19,601.47437427
System,20,589.08271518
System,21,565.69125975
System,22,535.96313415
System,23,496.82498244
System,24,481.47771333
System,25,468.80891607
System,26,440.71749633
System,27,416.48468862000004
System,28,402.26310141
System,29,398.93006270999996
System,30,416.0033052
System,31,455.10505086
System,32,512.22396384
System,33,537.7090551900001
System,34,522.16239747
System,35,501.42668618999994
System,36,487.9956186
System,37,488.5789029
System,38,488.65674612
System,39,492.94785516
System,40,493.35538343999997
System,41,508.35727245
System,42,557.6582949000001
System,43,614.0623082100001
System,44,601.94232999
System,45,580.4275770300001
System,46,544.10601219
System,47,508.33197495
System,48,493.01013942
System,49,471.44256798
System,50,445.85488356
System,51,409.03284228
System,52,385.29551346
System,53,373.935471
System,54,390.67216677
System,55,423.3262569
System,56,480.24381186000005
System,57,514.62068118
System,58,504.18722682
System,59,481.26552585
System,60,462.61057938000005
System,61,444.90057420000005
System,62,449.03768850000006
System,63,441.24276507
System,64,437.1598013700001
System,65,461.31734238
System,66,508.3757588699999
System,67,556.62726405
System,68,548.20051866
System,69,532.53276261
System,70,502.36126086
System,71,476.20943762999997
System,72,474.21909771
System,73,451.22512539
System,74,418.42522356
System,75,387.91301985
System,76,369.41302910999997
System,77,362.65391604
System,78,368.01336453
System,79,386.27813574
System,80,411.51383361
System,81,438.13638204
System,82,439.0341700800001
System,83,425.17979577000006
System,84,406.70506341
System,85,393.84107027999994
System,86,387.35950137
System,87,382.52694186
System,88,384.77774631
System,89,405.28128084
System,90,465.02583303000006
System,91,518.60781978
System,92,507.58990917000006
System,93,486.92151138
System,94,465.87758892
System,95,452.20756434
System,96,455.71423691999996
System,97,449.12336034
System,98,414.44837253000003
System,99,383.37065129999996
System,100,364.58114087999996
System,101,357.57874089
System,102,357.32553989999997
System,103,366.56470971
System,104,383.56209323999997
System,105,413.08661103000003
System,106,415.93682163
System,107,402.00584334
System,108,390.73158432
System,109,382.21871103
System,110,379.37720879999995
System,111,385.16005373999997
System,112,393.75904634999995
System,113,420.61017831000004
System,114,487.7212693800001
System,115,551.7345456
System,116,549.60744318
System,117,536.38409184
System,118,508.28511533999995
System,119,470.04817446
System,120,460.94880534
System,121,451.95020076000003
System,122,424.36125546
System,123,395.91989919
System,124,382.4620797
System,125,375.99197658
System,126,394.90561395
System,127,440.45997975
System,128,501.47026674000006
System,129,554.58322779
System,130,557.38809192
System,131,522.6454314
System,132,501.70658067
System,133,493.23939609
System,134,492.05708652000004
System,135,491.93216421
System,136,487.86556377
System,137,510.22577013
System,138,583.71129132
System,139,640.6468309200001
System,140,630.7304535
System,141,595.9950507
System,142,565.97812737
System,143,517.7079860700001
System,144,488.76279285000004
System,145,470.73515946
System,146,430.09487139
System,147,396.84829506
System,148,379.36337844
System,149,379.45182441
System,150,396.83860629000003
System,151,445.44317301
System,152,503.23381872
System,153,559.2090693299999
System,154,556.14185772
System,155,531.94896993
System,156,503.71223694
System,157,486.64137843000003
System,158,481.43608554
System,159,476.23570863
System,160,480.81399339
System,161,506.86365351000006
System,162,587.5384760699999
System,163,659.79165906
System,164,646.4675251799999
System,165,620.69556489
System,166,576.1234861800001
System,167,536.44727079
System,168,499.63387047
