Bus,Time,Demand
N_101,1,0.0
N_101,2,0.0
N_101,3,0.0
N_101,4,0.0
N_101,5,0.0
N_101,6,0.0
N_101,7,0.0
N_101,8,0.0
N_101,9,0.0
N_101,10,0.0
N_101,11,0.0
N_101,12,0.0
N_101,13,0.0
N_101,14,0.0
N_101,15,0.0
N_101,16,0.0
N_101,17,0.0
N_101,18,0.0
N_101,19,0.0
N_101,20,0.0
N_101,21,0.0
N_101,22,0.0
N_101,23,0.0
N_101,24,0.0
N_101,25,0.0
N_101,26,0.0
N_101,27,0.0
N_101,28,0.0
N_101,29,0.0
N_101,30,0.0
N_101,31,0.0
N_101,32,0.0
N_101,33,0.0
N_101,34,0.0
N_101,35,0.0
N_101,36,0.0
N_101,37,0.0
N_101,38,0.0
N_101,39,0.0
N_101,40,0.0
N_101,41,0.0
N_101,42,0.0
N_101,43,0.0
N_101,44,0.0
N_101,45,0.0
N_101,46,0.0
N_101,47,0.0
N_101,48,0.0
N_101,49,0.0
N_101,50,0.0
N_101,51,0.0
N_101,52,0.0
N_101,53,0.0
N_101,54,0.0
N_101,55,0.0
N_101,56,0.0
N_101,57,0.0
N_101,58,0.0
N_101,59,0.0
N_101,60,0.0
N_101,61,0.0
N_101,62,0.0
N_101,63,0.0
N_101,64,0.0
N_101,65,0.0
N_101,66,0.0
N_101,67,0.0
N_101,68,0.0
N_101,69,0.0
N_101,70,0.0
N_101,71,0.0
N_101,72,0.0
N_101,73,0.0
N_101,74,0.0
N_101,75,0.0
N_101,76,0.0
N_101,77,0.0
N_101,78,0.0
N_101,79,0.0
N_101,80,0.0
N_101,81,0.0
N_101,82,0.0
N_101,83,0.0
N_101,84,0.0
N_101,85,0.0
N_101,86,0.0
N_101,87,0.0
N_101,88,0.0
N_101,89,0.0
N_101,90,0.0
N_101,91,0.0
N_101,92,0.0
N_101,93,0.0
N_101,94,0.0
N_101,95,0.0
N_101,96,0.0
N_101,97,0.0
N_101,98,0.0
N_101,99,0.0
N_101,100,0.0
N_101,101,0.0
N_101,102,0.0
N_101,103,0.0
N_101,104,0.0
N_101,105,0.0
N_101,106,0.0
N_101,107,0.0
N_101,108,0.0
N_101,109,0.0
N_101,110,0.0
N_101,111,0.0
N_101,112,0.0
N_101,113,0.0
N_101,114,0.0
N_101,115,0.0
N_101,116,0.0
N_101,117,0.0
N_101,118,0.0
N_101,119,0.0
N_101,120,0.0
N_102,1,74.78426784199037
N_102,2,70.32155052505338
N_102,3,65.25797045438047
N_102,4,61.75310912793131
N_102,5,60.332501210499096
N_102,6,61.66558281179982
N_102,7,66.14940764603857
N_102,8,73.0868924189587
N_102,9,80.06267383315736
N_102,10,83.57975676915702
N_102,11,83.96420139117599
N_102,12,81.92200817145768
N_102,13,81.33139533549893
N_102,14,81.82158973231245
N_102,15,82.85454635283482
N_102,16,84.73088355972867
N_102,17,88.58661806750486
N_102,18,92.86732299695402
N_102,19,91.92077949838546
N_102,20,87.31302448482882
N_102,21,83.8359351270257
N_102,22,80.42777199520349
N_102,23,77.23975065100174
N_102,24,73.67176689318649
N_102,25,69.49218635413608
N_102,26,65.78874750498885
N_102,27,61.4121116365841
N_102,28,59.026888834518424
N_102,29,58.39030747741154
N_102,30,59.368222081476894
N_102,31,62.78917364496671
N_102,32,67.6045275820948
N_102,33,73.34560419921216
N_102,34,76.59651009792866
N_102,35,76.56170637504857
N_102,36,74.92423529686032
N_102,37,74.38046681910569
N_102,38,74.63830528670063
N_102,39,76.15755766115632
N_102,40,79.67157938105872
N_102,41,85.50342225778842
N_102,42,90.8084902825107
N_102,43,91.45123538847525
N_102,44,87.80015239634514
N_102,45,84.17946976469892
N_102,46,79.68876141860399
N_102,47,75.58014777828683
N_102,48,71.52007632869251
N_102,49,67.11426070463854
N_102,50,63.614965617205876
N_102,51,59.89691638085202
N_102,52,58.29104481435117
N_102,53,58.66007210636314
N_102,54,62.850010366610995
N_102,55,71.2613903343714
N_102,56,78.57243226321111
N_102,57,81.48215049062347
N_102,58,80.70506678560578
N_102,59,79.08531698955119
N_102,60,77.27622578910302
N_102,61,75.58787804453397
N_102,62,75.73982966835034
N_102,63,78.8089735319117
N_102,64,82.32615545140355
N_102,65,88.6152343247407
N_102,66,95.94525644745795
N_102,67,96.7401804403647
N_102,68,92.36445161307346
N_102,69,88.04985243912783
N_102,70,83.12568694874385
N_102,71,79.05903737563405
N_102,72,75.88399001579869
N_102,73,72.969079262327
N_102,74,68.89084716894187
N_102,75,63.79278775331914
N_102,76,60.233153277509906
N_102,77,60.05366576286318
N_102,78,64.1849196672138
N_102,79,72.34696754994073
N_102,80,80.18619658333697
N_102,81,84.82992688875754
N_102,82,85.01066584300175
N_102,83,83.11641242069919
N_102,84,80.5616287830085
N_102,85,80.68519480840601
N_102,86,80.93041083955183
N_102,87,82.29771805382285
